date;Italy;US;India;Brazil
2020-05-19;226699;1531138;106475;271885
2020-05-20;227364;1553964;112028;294624
2020-05-21;228006;1579116;118226;312761
2020-05-22;228658;1602945;124794;334568
2020-05-23;229327;1623134;131423;351565
2020-05-24;229858;1643308;138536;366033
2020-05-25;230158;1662402;144950;378840
2020-05-26;230555;1681128;150793;395167
2020-05-27;231139;1699891;158086;415366
2020-05-28;231732;1721159;165386;443703
2020-05-29;232248;1746241;173491;470593
2020-05-30;232664;1769321;181827;502914
2020-05-31;232997;1788240;190609;516137
2020-06-01;233197;1806080;198370;531286
2020-06-02;233515;1826170;207191;562963
2020-06-03;233836;1845326;216824;589048
2020-06-04;234013;1873260;226713;621002
2020-06-05;234531;1899700;236184;653103
2020-06-06;234801;1919969;246622;676893
2020-06-07;234998;1937795;257486;694881
2020-06-08;235278;1954695;265928;712219
2020-06-09;235561;1975016;276146;743917
2020-06-10;235763;1996734;286605;777707
2020-06-11;236142;2019012;297535;806399
2020-06-12;236305;2044570;308993;830681
2020-06-13;236651;2068727;320922;851911
2020-06-14;236989;2087628;332424;868705
2020-06-15;237290;2108627;343091;893322
2020-06-16;237500;2133176;354065;930305
2020-06-17;237828;2160226;366946;961230
2020-06-18;238159;2188453;380532;986750
2020-06-19;238011;2219507;395048;1042809
2020-06-20;238275;2251333;410451;1106332
2020-06-21;238499;2277169;425282;1086536
2020-06-22;238720;2306970;440215;1114728
2020-06-23;238833;2345699;456183;1154255
2020-06-24;239410;2381950;473105;1195288
2020-06-25;239706;2421249;490401;1236752
2020-06-26;239961;2470295;508953;1281636
2020-06-27;240136;2511049;528859;1318556
2020-06-28;240310;2553974;548318;1351439
2020-06-29;240436;2595270;566840;1372989
2020-06-30;240578;2645093;585481;1412669
2020-07-01;240760;2694216;604641;1459494
2020-07-02;240961;2749159;625544;1503895
2020-07-03;241184;2800664;648315;1546935
2020-07-04;241419;2846609;673165;1580502
2020-07-05;241611;2900337;697413;1605695
2020-07-06;241819;2943502;719664;1630149
2020-07-07;241956;3000732;742417;1676848
2020-07-08;242149;3061038;767296;1722098
2020-07-09;242363;3120694;793802;1765060
2020-07-10;242639;3189553;820916;1809371
2020-07-11;242827;3249992;849522;1844318
2020-07-12;243061;3310124;878254;1867976
2020-07-13;243230;3369488;906752;1890869
2020-07-14;243344;3435150;936181;1933791
2020-07-15;243506;3501176;968857;1973933
2020-07-16;243736;3571990;1003832;2017616
2020-07-17;243967;3638462;1039084;2052234
2020-07-18;244216;3702784;1077781;2077987
2020-07-19;244434;3761716;1118206;2101399
2020-07-20;244624;3822379;1155338;2124152
2020-07-21;244752;3890573;1193078;2171079
2020-07-22;245032;3958118;1238798;2237229
2020-07-23;245338;4026004;1288108;2294555
2020-07-24;245590;4101151;1337024;2351458
2020-07-25;245864;4165351;1385635;2398993
2020-07-26;246118;4221190;1435616;2421666
2020-07-27;246286;4280914;1480073;2449677
2020-07-28;246488;4345744;1531669;2503681
2020-07-29;246776;4409872;1581963;2559132
2020-07-30;247158;4479113;1634746;2617187
2020-07-31;247537;4543689;1695988;2670451
2020-08-01;247832;4601267;1750723;2711992
2020-08-02;248070;4648376;1803695;2736058
2020-08-03;248229;4690060;1855745;2756164
2020-08-04;248419;4751717;1908254;2812447
2020-08-05;248803;4806065;1964536;2868616
2020-08-06;249204;4866245;2027074;2922605
2020-08-07;249756;4926832;2088611;2972008
2020-08-08;250103;4990765;2153010;3018397
2020-08-09;250566;5045032;2215074;3041127
2020-08-10;250825;5096649;2268675;3067633
2020-08-11;251237;5153604;2329638;3118153
2020-08-12;251713;5208848;2396637;3173107
2020-08-13;252235;5260504;2461190;3233820
2020-08-14;252809;5330629;2525922;3283227
2020-08-15;253438;5383025;2589952;3320108
2020-08-16;253915;5417687;2647663;3343114
2020-08-17;254235;5455536;2702681;3367511
2020-08-18;254636;5500438;2767253;3416775
2020-08-19;255278;5546322;2836925;3465378
2020-08-20;256118;5591450;2905825;3508352
2020-08-21;257065;5639041;2975701;3540678
2020-08-22;258136;5684714;3044940;3586586
2020-08-23;259345;5716625;3106348;3608459
2020-08-24;260298;5750548;3167323;3631972
2020-08-25;261174;5793221;3224547;3678279
2020-08-26;262540;5835294;3310234;3726431
2020-08-27;263949;5885812;3387500;3768691
2020-08-28;265409;5932282;3463972;3812779
2020-08-29;266853;5975384;3542733;3850070
2020-08-30;268218;6009515;3621245;3864604
2020-08-31;269214;6042877;3691166;3914829
2020-09-01;270189;6084855;3769523;3959158
2020-09-02;271515;6124816;3853406;4005611
2020-09-03;272912;6169957;3936747;4052420
2020-09-04;274644;6218291;4023179;4091959
2020-09-05;276338;6261914;4113811;4125816
2020-09-06;277634;6291033;4204613;4140488
2020-09-07;278784;6315596;4280422;4150004
2020-09-08;280153;6342340;4370128;4168790
2020-09-09;281583;6375978;4465863;4205877
2020-09-10;283180;6415426;4562414;4246638
2020-09-11;284796;6460049;4659984;4288171
2020-09-12;286297;6505632;4754356;4318971
2020-09-13;287753;6545923;4846427;4332991
2020-09-14;288761;6578488;4930236;4353602
2020-09-15;289990;6615666;5020359;4388154
2020-09-16;291442;6653958;5118253;4425451
2020-09-17;293025;6699277;5214677;4461856
2020-09-18;294932;6749462;5308014;4501587
2020-09-19;296569;6795239;5400619;4531145
2020-09-20;298156;6836849;5487580;4546587
2020-09-21;299506;6868892;5562663;4564222
2020-09-22;300897;6907163;5646010;4599189
2020-09-23;302537;6948282;5732518;4631915
2020-09-24;304323;6997165;5818570;4663930
2020-09-25;306235;7044301;5903932;4696240
2020-09-26;308104;7087848;5992532;4720958
2020-09-27;309870;7121627;6074702;4734745
2020-09-28;311364;7159366;6145291;4751616
2020-09-29;313011;7201399;6225763;4784464
2020-09-30;314861;7240031;6312584;4817365
2020-10-01;317409;7286275;6394068;4853148
2020-10-02;319908;7339718;6473544;4885966
2020-10-03;322751;7388999;6549373;4908974
2020-10-04;325329;7422130;6623815;4917689
2020-10-05;327586;7459487;6685082;4943742
2020-10-06;330263;7504032;6757131;4975268
2020-10-07;333940;7553169;6835655;5006206
2020-10-08;338398;7611059;6906151;5033036
2020-10-09;343770;7666138;6979423;5060769
2020-10-10;349494;7721505;7053806;5084513
2020-10-11;354950;7768405;7120538;5096704
2020-10-12;359569;7810485;7175880;5105340
2020-10-13;365467;7860608;7239389;5118699
2020-10-14;372799;7919050;7307097;5146543
2020-10-15;381602;7982587;7370468;5176969
2020-10-16;391611;8052761;7432680;5205565
2020-10-17;402536;8107593;7494551;5226341
2020-10-18;414241;8159763;7550273;5238392
2020-10-19;423578;8227645;7597063;5254971
2020-10-20;434449;8289382;7651107;5278737
2020-10-21;449648;8350088;7706946;5304593
2020-10-22;465726;8429709;7761312;5329357
2020-10-23;484869;8511369;7814682;5359358
2020-10-24;504509;8589745;7864811;5384342
2020-10-25;525782;8650720;7909959;5396596
2020-10-26;542789;8715284;7946429;5415207
2020-10-27;564778;8792507;7990322;5445189
2020-10-28;589766;8878983;8040203;5473540
2020-10-29;616595;8970275;8088851;5500240
2020-10-30;647674;9070124;8137119;5524593
2020-10-31;679430;9157467;8184082;5537763
2020-11-01;709335;9235297;8229313;5547951
2020-11-02;731588;9317104;8267623;5556200
2020-11-03;759829;9441870;8313876;5570782
2020-11-04;790377;9542132;8364086;5594098
2020-11-05;824879;9670213;8411724;5617943
2020-11-06;862681;9797269;8462080;5638143
2020-11-07;902490;9924333;8507754;5655887
2020-11-08;935104;10044007;8553657;5666389
2020-11-09;960373;10160963;8591730;5679803
2020-11-10;995463;10297515;8636011;5726227
2020-11-11;1028424;10445198;8683916;5752474
2020-11-12;1066401;10603994;8728795;5786393
2020-11-13;1107303;10783511;8773479;5825111
2020-11-14;1144552;10947561;8814579;5851389
2020-11-15;1178529;11087276;8845127;5865295
2020-11-16;1205881;11240363;8874290;5881039
2020-11-17;1238072;11405010;8912907;5916529
2020-11-18;1272352;11576980;8958483;5951281
2020-11-19;1308528;11769281;9004365;5987143
2020-11-20;1345767;11970947;9050597;6025913
2020-11-21;1380531;12150765;9095806;6056135
2020-11-22;1408868;12297352;9139865;6074061
2020-11-23;1431795;12478863;9177840;6092219
2020-11-24;1455022;12652423;9222216;6126752
2020-11-25;1480874;12832634;9266705;6171380
2020-11-26;1509875;12949883;9309787;6212265
2020-11-27;1538217;13164518;9351109;6245773
2020-11-28;1564532;13332741;9392919;6297258
2020-11-29;1585178;13473086;9431691;6318270
2020-11-30;1601554;13628000;9462809;6341965
2020-12-01;1620901;13825116;9499413;6393950
2020-12-02;1641610;14021279;9534964;6442425
2020-12-03;1664829;14241504;9571559;6492564
2020-12-04;1688939;14476875;9608211;6540235
2020-12-05;1709991;14698885;9644222;6580517
2020-12-06;1728878;14878212;9677203;6606947
2020-12-07;1742557;15073673;9703770;6633971
2020-12-08;1757394;15300729;9735850;6681767
2020-12-09;1770149;15516736;9767371;6736358
2020-12-10;1787147;15753677;9796744;6789908
2020-12-11;1805873;15992580;9826775;6842458
2020-12-12;1825775;16217114;9857029;6884782
2020-12-13;1843712;16408711;9884100;6906811
2020-12-14;1855737;16618540;9906165;6934191
2020-12-15;1870576;16844856;9932547;6982223
2020-12-16;1888144;17079661;9956557;7048347
2020-12-17;1906377;17319907;9979447;7117046
2020-12-18;1921778;17567852;10004599;7169899
2020-12-19;1938083;17773704;10031223;7218141
2020-12-20;1953185;17960901;10055560;7242625
2020-12-21;1964054;18157760;10075116;7270270
2020-12-22;1977370;18363692;10099066;7326935
2020-12-23;1991278;18585131;10123778;7372614
2020-12-24;2009317;18798079;10146845;7430825
2020-12-25;2028354;18925256;10169118;7452008
